"TestID","Category","Module / Page","Test Case","Method","Environment","Status","Observed Result (evidence)","Executed At"
"FUN-204","Functional Testing","Learning Path","Complete a milestone — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] boundary -> 200 (handled)","2026-07-11T19:49:48.906Z"
"FUN-205","Functional Testing","Learning Path","Complete a milestone — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-206","Functional Testing","Learning Path","Complete a milestone — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-207","Functional Testing","Learning Path","Complete a milestone — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-208","Functional Testing","Learning Path","Complete a milestone — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-209","Functional Testing","Learning Path","Complete a daily task — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-210","Functional Testing","Learning Path","Complete a daily task — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-07-11T19:49:48.906Z"
"FUN-211","Functional Testing","Learning Path","Complete a daily task — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] bad-type -> 200 (handled gracefully, no process crash)","2026-07-11T19:49:48.906Z"
"FUN-212","Functional Testing","Learning Path","Complete a daily task — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] boundary -> 200 (handled)","2026-07-11T19:49:48.906Z"
"FUN-213","Functional Testing","Learning Path","Complete a daily task — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-214","Functional Testing","Learning Path","Complete a daily task — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-215","Functional Testing","Learning Path","Complete a daily task — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-216","Functional Testing","Learning Path","Complete a daily task — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-217","Functional Testing","Learning Path","Complete a weekly goal — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-218","Functional Testing","Learning Path","Complete a weekly goal — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-07-11T19:49:48.906Z"
"FUN-219","Functional Testing","Learning Path","Complete a weekly goal — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] bad-type -> 200 (handled gracefully, no process crash)","2026-07-11T19:49:48.906Z"
"FUN-220","Functional Testing","Learning Path","Complete a weekly goal — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] boundary -> 200 (handled)","2026-07-11T19:49:48.906Z"
"FUN-221","Functional Testing","Learning Path","Complete a weekly goal — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-222","Functional Testing","Learning Path","Complete a weekly goal — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-223","Functional Testing","Learning Path","Complete a weekly goal — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-224","Functional Testing","Learning Path","Complete a weekly goal — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-225","Functional Testing","Learning Path","Progress % recalculation — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-226","Functional Testing","Learning Path","Progress % recalculation — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-07-11T19:49:48.906Z"
"FUN-227","Functional Testing","Learning Path","Progress % recalculation — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-07-11T19:49:48.906Z"
"FUN-228","Functional Testing","Learning Path","Progress % recalculation — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-07-11T19:49:48.906Z"
"FUN-229","Functional Testing","Learning Path","Progress % recalculation — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-230","Functional Testing","Learning Path","Progress % recalculation — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-231","Functional Testing","Learning Path","Progress % recalculation — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-232","Functional Testing","Learning Path","Progress % recalculation — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-233","Functional Testing","Gamification","XP points awarded — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-234","Functional Testing","Gamification","XP points awarded — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-07-11T19:49:48.906Z"
"FUN-235","Functional Testing","Gamification","XP points awarded — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] bad-type -> 200 (handled gracefully, no process crash)","2026-07-11T19:49:48.906Z"
"FUN-236","Functional Testing","Gamification","XP points awarded — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] boundary -> 200 (handled)","2026-07-11T19:49:48.906Z"
"FUN-237","Functional Testing","Gamification","XP points awarded — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-238","Functional Testing","Gamification","XP points awarded — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-239","Functional Testing","Gamification","XP points awarded — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-240","Functional Testing","Gamification","XP points awarded — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-241","Functional Testing","Gamification","Badge: First Step — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-242","Functional Testing","Gamification","Badge: First Step — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-07-11T19:49:48.906Z"
"FUN-243","Functional Testing","Gamification","Badge: First Step — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-07-11T19:49:48.906Z"
"FUN-244","Functional Testing","Gamification","Badge: First Step — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-07-11T19:49:48.906Z"
"FUN-245","Functional Testing","Gamification","Badge: First Step — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-246","Functional Testing","Gamification","Badge: First Step — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-247","Functional Testing","Gamification","Badge: First Step — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-248","Functional Testing","Gamification","Badge: First Step — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-249","Functional Testing","Gamification","Badge: Streaker — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-250","Functional Testing","Gamification","Badge: Streaker — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-07-11T19:49:48.906Z"
"FUN-251","Functional Testing","Gamification","Badge: Streaker — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-07-11T19:49:48.906Z"
"FUN-252","Functional Testing","Gamification","Badge: Streaker — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-07-11T19:49:48.906Z"
"FUN-253","Functional Testing","Gamification","Badge: Streaker — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-254","Functional Testing","Gamification","Badge: Streaker — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-255","Functional Testing","Gamification","Badge: Streaker — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-256","Functional Testing","Gamification","Badge: Streaker — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-257","Functional Testing","Gamification","Level up every 300 XP — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-258","Functional Testing","Gamification","Level up every 300 XP — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-07-11T19:49:48.906Z"
"FUN-259","Functional Testing","Gamification","Level up every 300 XP — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-07-11T19:49:48.906Z"
"FUN-260","Functional Testing","Gamification","Level up every 300 XP — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-07-11T19:49:48.906Z"
"FUN-261","Functional Testing","Gamification","Level up every 300 XP — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-262","Functional Testing","Gamification","Level up every 300 XP — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-263","Functional Testing","Gamification","Level up every 300 XP — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-264","Functional Testing","Gamification","Level up every 300 XP — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-265","Functional Testing","Gamification","Streak increment — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-266","Functional Testing","Gamification","Streak increment — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-07-11T19:49:48.906Z"
"FUN-267","Functional Testing","Gamification","Streak increment — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-07-11T19:49:48.906Z"
"FUN-268","Functional Testing","Gamification","Streak increment — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-07-11T19:49:48.906Z"
"FUN-269","Functional Testing","Gamification","Streak increment — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-270","Functional Testing","Gamification","Streak increment — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-271","Functional Testing","Gamification","Streak increment — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-272","Functional Testing","Gamification","Streak increment — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-273","Functional Testing","Sessions","Book a session — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=201 exp=201","2026-07-11T19:49:48.906Z"
"FUN-274","Functional Testing","Sessions","Book a session — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] omit mentorId -> 400","2026-07-11T19:49:48.906Z"
"FUN-275","Functional Testing","Sessions","Book a session — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-07-11T19:49:48.906Z"
"FUN-276","Functional Testing","Sessions","Book a session — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] boundary -> 500 (handled)","2026-07-11T19:49:48.906Z"
"FUN-277","Functional Testing","Sessions","Book a session — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-278","Functional Testing","Sessions","Book a session — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 201,201","2026-07-11T19:49:48.906Z"
"FUN-279","Functional Testing","Sessions","Book a session — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=201, body present=true","2026-07-11T19:49:48.906Z"
"FUN-280","Functional Testing","Sessions","Book a session — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=201","2026-07-11T19:49:48.906Z"
"FUN-281","Functional Testing","Sessions","Auto meeting-link — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=201 exp=201","2026-07-11T19:49:48.906Z"
"FUN-282","Functional Testing","Sessions","Auto meeting-link — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=201","2026-07-11T19:49:48.906Z"
"FUN-283","Functional Testing","Sessions","Auto meeting-link — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-07-11T19:49:48.906Z"
"FUN-284","Functional Testing","Sessions","Auto meeting-link — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] boundary -> 500 (handled)","2026-07-11T19:49:48.906Z"
"FUN-285","Functional Testing","Sessions","Auto meeting-link — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-286","Functional Testing","Sessions","Auto meeting-link — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 201,201","2026-07-11T19:49:48.906Z"
"FUN-287","Functional Testing","Sessions","Auto meeting-link — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=201, body present=true","2026-07-11T19:49:48.906Z"
"FUN-288","Functional Testing","Sessions","Auto meeting-link — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=201","2026-07-11T19:49:48.906Z"
"FUN-289","Functional Testing","Sessions","View session history — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-290","Functional Testing","Sessions","View session history — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-07-11T19:49:48.906Z"
"FUN-291","Functional Testing","Sessions","View session history — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-07-11T19:49:48.906Z"
"FUN-292","Functional Testing","Sessions","View session history — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-07-11T19:49:48.906Z"
"FUN-293","Functional Testing","Sessions","View session history — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-294","Functional Testing","Sessions","View session history — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-295","Functional Testing","Sessions","View session history — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-296","Functional Testing","Sessions","View session history — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-297","Functional Testing","Sessions","Update session status — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-298","Functional Testing","Sessions","Update session status — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-07-11T19:49:48.906Z"
"FUN-299","Functional Testing","Sessions","Update session status — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-07-11T19:49:48.906Z"
"FUN-300","Functional Testing","Sessions","Update session status — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] boundary -> 200 (handled)","2026-07-11T19:49:48.906Z"
"FUN-301","Functional Testing","Sessions","Update session status — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-302","Functional Testing","Sessions","Update session status — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-303","Functional Testing","Sessions","Update session status — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-304","Functional Testing","Sessions","Update session status — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-305","Functional Testing","Sessions","Session notification — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=201 exp=201","2026-07-11T19:49:48.906Z"
"FUN-306","Functional Testing","Sessions","Session notification — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=201","2026-07-11T19:49:48.906Z"
"FUN-307","Functional Testing","Sessions","Session notification — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-07-11T19:49:48.906Z"
"FUN-308","Functional Testing","Sessions","Session notification — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] boundary -> 500 (handled)","2026-07-11T19:49:48.906Z"
"FUN-309","Functional Testing","Sessions","Session notification — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-310","Functional Testing","Sessions","Session notification — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 201,201","2026-07-11T19:49:48.906Z"
"FUN-311","Functional Testing","Sessions","Session notification — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=201, body present=true","2026-07-11T19:49:48.906Z"
"FUN-312","Functional Testing","Sessions","Session notification — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=201","2026-07-11T19:49:48.906Z"
"FUN-313","Functional Testing","Feedback","Submit feedback — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=201 exp=201","2026-07-11T19:49:48.906Z"
"FUN-314","Functional Testing","Feedback","Submit feedback — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] omit sessionId -> 400","2026-07-11T19:49:48.906Z"
"FUN-315","Functional Testing","Feedback","Submit feedback — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-07-11T19:49:48.906Z"
"FUN-316","Functional Testing","Feedback","Submit feedback — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] boundary -> 500 (handled)","2026-07-11T19:49:48.906Z"
"FUN-317","Functional Testing","Feedback","Submit feedback — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-318","Functional Testing","Feedback","Submit feedback — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 201,400","2026-07-11T19:49:48.906Z"
"FUN-319","Functional Testing","Feedback","Submit feedback — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=201, body present=true","2026-07-11T19:49:48.906Z"
"FUN-320","Functional Testing","Feedback","Submit feedback — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=201","2026-07-11T19:49:48.906Z"
"FUN-321","Functional Testing","Feedback","Duplicate feedback prevention — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=400 exp=400","2026-07-11T19:49:48.906Z"
"FUN-322","Functional Testing","Feedback","Duplicate feedback prevention — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=400","2026-07-11T19:49:48.906Z"
"FUN-323","Functional Testing","Feedback","Duplicate feedback prevention — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-07-11T19:49:48.906Z"
"FUN-324","Functional Testing","Feedback","Duplicate feedback prevention — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] boundary -> 500 (handled)","2026-07-11T19:49:48.906Z"
"FUN-325","Functional Testing","Feedback","Duplicate feedback prevention — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-326","Functional Testing","Feedback","Duplicate feedback prevention — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 400,400","2026-07-11T19:49:48.906Z"
"FUN-327","Functional Testing","Feedback","Duplicate feedback prevention — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=400, body present=true","2026-07-11T19:49:48.906Z"
"FUN-328","Functional Testing","Feedback","Duplicate feedback prevention — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=400","2026-07-11T19:49:48.906Z"
"FUN-329","Functional Testing","Feedback","Mentor rating recalculation — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=201 exp=201","2026-07-11T19:49:48.906Z"
"FUN-330","Functional Testing","Feedback","Mentor rating recalculation — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=201","2026-07-11T19:49:48.906Z"
"FUN-331","Functional Testing","Feedback","Mentor rating recalculation — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-07-11T19:49:48.906Z"
"FUN-332","Functional Testing","Feedback","Mentor rating recalculation — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] boundary -> 500 (handled)","2026-07-11T19:49:48.906Z"
"FUN-333","Functional Testing","Feedback","Mentor rating recalculation — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-334","Functional Testing","Feedback","Mentor rating recalculation — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 201,400","2026-07-11T19:49:48.906Z"
"FUN-335","Functional Testing","Feedback","Mentor rating recalculation — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=201, body present=true","2026-07-11T19:49:48.906Z"
